Unnamed: 0,Course Title,Course Link,Description,Rating,Course Length,Learner Level
,"Essentials in JavaScript ES6 - A Fun and Clear Introduction
A creative and fun course on JavaScript ES6! Has Webpack, Babel, React, and all the new syntax you need to code in ES6!Rating: 4.4 out of 54836 reviews2 total hours43 lecturesAll LevelsCurrent price: ₩25,000",https://www.udemy.com/course/essentials-in-javascript-es6/,"A creative and fun course on JavaScript ES6! Has Webpack, Babel, React, and all the new syntax you need to code in ES6!",4.4,2 total hours,All Levels
,"Master JavaScript from Basics to Advanced [2024] | 5+ Bonus
A perfect JavaScript course for all those who want to learn and master JavaScript programming skills right from scratch.Rating: 4.2 out of 54411 reviews10 total hours87 lecturesBeginnerCurrent price: ₩49,000",https://www.udemy.com/course/javascript-basics-to-advanced/,A perfect JavaScript course for all those who want to learn and master JavaScript programming skills right from scratch.,4.2,10 total hours,Beginner
,"Javascript Tutorial and Projects Course
Learn Javascript by Building 30+ Interesting ProjectsRating: 4.7 out of 54290 reviews46.5 total hours448 lecturesAll LevelsCurrent price: ₩88,000",https://www.udemy.com/course/javascript-tutorial-for-beginners-w/,Learn Javascript by Building 30+ Interesting Projects,4.7,46.5 total hours,All Levels
,"Learn JavaScript - For Beginners
Learn how to Code Web Pages using JavaScriptRating: 4.1 out of 54212 reviews1.5 total hours43 lecturesBeginnerCurrent price: ₩25,000",https://www.udemy.com/course/learn-javascript-for-beginners-v/,Learn how to Code Web Pages using JavaScript,4.1,1.5 total hours,Beginner
,"The Complete Full-Stack JavaScript Course
Learn full-stack web development using JavaScript (ReactJS, NodeJS, LoopbackJS, Redux and Material-UI)!Rating: 4.5 out of 54144 reviews24.5 total hours96 lecturesAll LevelsCurrent price: ₩49,000",https://www.udemy.com/course/full-stack-javascript/,"Learn full-stack web development using JavaScript (ReactJS, NodeJS, LoopbackJS, Redux and Material-UI)!",4.5,24.5 total hours,All Levels
,"Object-oriented Programming in JavaScript
Learn all about OOP, understand the most confusing parts of JavaScript and prepare for technical interviewsRating: 4.7 out of 54126 reviews4 total hours64 lecturesIntermediateCurrent price: ₩77,000",https://www.udemy.com/course/javascript-object-oriented-programming/,"Learn all about OOP, understand the most confusing parts of JavaScript and prepare for technical interviews",4.7,4 total hours,Intermediate
,"JavaScript Web Projects: 20 Projects to Build Your Portfolio
Modern HTML5, CSS3, and JavaScript to build Responsive and Mobile Friendly projects for your dream portfolio and resume!Rating: 4.6 out of 53923 reviews33 total hours243 lecturesBeginnerCurrent price: ₩99,000",https://www.udemy.com/course/javascript-web-projects-to-build-your-portfolio-resume/,"Modern HTML5, CSS3, and JavaScript to build Responsive and Mobile Friendly projects for your dream portfolio and resume!",4.6,33 total hours,Beginner
,"The Full JavaScript & ES6 Tutorial - (including ES7 & React)
The most in-depth course on ES6 around. Start with JavaScript, deep-dive into ES6, & even more (Webpack, ES7, & React)!Rating: 4.6 out of 53731 reviews5 total hours105 lecturesAll LevelsCurrent price: ₩49,000",https://www.udemy.com/course/es6-in-depth/,"The most in-depth course on ES6 around. Start with JavaScript, deep-dive into ES6, & even more (Webpack, ES7, & React)!",4.6,5 total hours,All Levels
,"JavaScript Unit Testing - The Practical Guide
Learn how to write automated tests (unit & integration tests) for your JavaScript projects with Vitest & Jest.Rating: 4.7 out of 53275 reviews5.5 total hours92 lecturesBeginnerCurrent price: ₩77,000",https://www.udemy.com/course/javascript-unit-testing-the-practical-guide/,Learn how to write automated tests (unit & integration tests) for your JavaScript projects with Vitest & Jest.,4.7,5.5 total hours,Beginner
,"Learn JavaScript for Web Development
Advance your Web Development Skills By Learning Javascript from JavaScript Expert!Rating: 3.2 out of 53231 reviews8.5 total hours95 lecturesIntermediateCurrent price: ₩25,000",https://www.udemy.com/course/javascript-learn-javascript-essentials-and-build-project/,Advance your Web Development Skills By Learning Javascript from JavaScript Expert!,3.2,8.5 total hours,Intermediate
,"JavaScript For Beginners - Learn JavaScript From Scratch
Learn The JavaScript Programming Language Completely From Scratch Without FrameworksRating: 4.1 out of 53129 reviews3 total hours56 lecturesBeginnerCurrent price: ₩25,000",https://www.udemy.com/course/javascript-for-beginners-learn-javascript-from-scratch/,Learn The JavaScript Programming Language Completely From Scratch Without Frameworks,4.1,3 total hours,Beginner
,"Javascript for Beginners
Learn javascript online and supercharge your web design with this Javascript for beginners training course.Rating: 4.5 out of 52905 reviews8 total hours72 lecturesAll LevelsCurrent price: ₩25,000",https://www.udemy.com/course/beginning-javascript/,Learn javascript online and supercharge your web design with this Javascript for beginners training course.,4.5,8 total hours,All Levels
,"Complete Javascript & jQuery Course with Bonus Vue JS Intro
Learn Javascript, jQuery and Ajax from the start + Bonus Intro to Vue JS 3. Incudes complete written course material!Rating: 4.4 out of 52647 reviews17 total hours98 lecturesAll LevelsCurrent price: ₩77,000",https://www.udemy.com/course/learn-javascript-from-beginner-to-advanced/,"Learn Javascript, jQuery and Ajax from the start + Bonus Intro to Vue JS 3. Incudes complete written course material!",4.4,17 total hours,All Levels
,"CSS & JavaScript - Certification Course for Beginners
Learn how to Add Dynamic Client-Side Functions to your Web Pages using CSS & JavaScriptRating: 4.2 out of 52533 reviews3 total hours72 lecturesBeginnerCurrent price: ₩25,000",https://www.udemy.com/course/css-javascript-certification-course-for-beginners/,Learn how to Add Dynamic Client-Side Functions to your Web Pages using CSS & JavaScript,4.2,3 total hours,Beginner
,"JavaScript Data Structures & Algorithms + LEETCODE Exercises
DSA for Cracking the Coding Interview. Animated Examples for Faster Learning and Deeper Understanding.Rating: 4.8 out of 52383 reviews9 total hours123 lecturesAll LevelsCurrent price: ₩88,000",https://www.udemy.com/course/data-structures-algorithms-javascript/,DSA for Cracking the Coding Interview. Animated Examples for Faster Learning and Deeper Understanding.,4.8,9 total hours,All Levels
,"Asynchronous JavaScript: Promises, Callbacks, Async Await
Become an expert in Asynchronous JavaScript: Promises, Callbacks, Async Await, Event Loop, etc.Rating: 4.6 out of 52351 reviews5 total hours59 lecturesAll LevelsCurrent price: ₩59,000",https://www.udemy.com/course/asynchronous-javascript-promises-callbacks-async-await/,"Become an expert in Asynchronous JavaScript: Promises, Callbacks, Async Await, Event Loop, etc.",4.6,5 total hours,All Levels
,"JavaScript for Beginners - The Complete introduction to JS
Learn all the Basics of JavaScript and create various basic JavaScript programs and applicationsRating: 4.3 out of 52295 reviews4 total hours30 lecturesAll LevelsCurrent price: ₩25,000",https://www.udemy.com/course/javascript-for-beginners-the-complete-introduction-to-js/,Learn all the Basics of JavaScript and create various basic JavaScript programs and applications,4.3,4 total hours,All Levels
,"The Complete JavaScript Course - Beginner to Professional
The only course you need to become a JavaScript developer - 45 JavaScript projects, ES6, JSON, AJAX & much more!Rating: 4.2 out of 52277 reviews38.5 total hours427 lecturesAll LevelsCurrent price: ₩25,000",https://www.udemy.com/course/javascript-training/,"The only course you need to become a JavaScript developer - 45 JavaScript projects, ES6, JSON, AJAX & much more!",4.2,38.5 total hours,All Levels
,"Learning Data Structures in JavaScript from Scratch
Write more efficient & performant code by learning data structures. Be well prepared for technical interview questions.Rating: 4.9 out of 52170 reviews3.5 total hours56 lecturesAll LevelsCurrent price: ₩59,000",https://www.udemy.com/course/learning-data-structures-in-javascript-from-scratch/,Write more efficient & performant code by learning data structures. Be well prepared for technical interview questions.,4.9,3.5 total hours,All Levels
,"Javascript - From Beginner to Pro-Build real world JS apps
Master JavaScript with the most complete JavaScript course on market! 1st step to learn JS - React, Angular or Vue JSRating: 3.4 out of 52064 reviews12.5 total hours85 lecturesBeginnerCurrent price: ₩25,000",https://www.udemy.com/course/javascript-from-beginner-to-pro-best-course/,"Master JavaScript with the most complete JavaScript course on market! 1st step to learn JS - React, Angular or Vue JS",3.4,12.5 total hours,Beginner
,"1 Hour JavaScript
Learn how to code in JavaScript in 1 hour. This class is set up for complete beginners!Rating: 4.1 out of 52019 reviews1 total hour18 lecturesBeginnerCurrent price: ₩25,000",https://www.udemy.com/course/1-hour-javascript/,Learn how to code in JavaScript in 1 hour. This class is set up for complete beginners!,4.1,1 total hour,Beginner
,"Learning Algorithms in JavaScript from Scratch
Make your code & programs faster and more efficient by using algorithms. Be very well prepared for technical interviews.Rating: 4.6 out of 51945 reviews3.5 total hours69 lecturesAll LevelsCurrent price: ₩49,000",https://www.udemy.com/course/learning-algorithms-in-javascript-from-scratch/,Make your code & programs faster and more efficient by using algorithms. Be very well prepared for technical interviews.,4.6,3.5 total hours,All Levels
,"The Complete JavaScript Course For Web Development Beginners
In this course students will learn the basics of JavaScript and beyond to help them in their web development needsRating: 4.2 out of 51879 reviews4 total hours46 lecturesAll LevelsCurrent price: ₩25,000",https://www.udemy.com/course/javascriptcourse/,In this course students will learn the basics of JavaScript and beyond to help them in their web development needs,4.2,4 total hours,All Levels
,"Make a Spotify Clone from Scratch: JavaScript PHP and MySQL
Learn JavaScript, PHP and MySQL by building the ultimate music streaming website from scratch! The complete guide!Rating: 4.6 out of 51850 reviews15 total hours169 lecturesAll LevelsCurrent price: ₩59,000",https://www.udemy.com/course/spotify-clone/,"Learn JavaScript, PHP and MySQL by building the ultimate music streaming website from scratch! The complete guide!",4.6,15 total hours,All Levels
,"The JavaScript Bible - JavaScript Bootcamp
Understand and learn JavaScript and ES6 in a one challenge-based JavaScript Bootcamp course!Rating: 4.6 out of 51728 reviews42.5 total hours429 lecturesAll LevelsCurrent price: ₩77,000",https://www.udemy.com/course/javascript-bible/,Understand and learn JavaScript and ES6 in a one challenge-based JavaScript Bootcamp course!,4.6,42.5 total hours,All Levels
,"JavaScript Bootcamp - Build Real World Applications
JavaScript from basic to advanced level. Project - based JavaScript course. JavaScript ES6 guide. Including JSON & AJAXRating: 4.6 out of 51537 reviews16.5 total hours120 lecturesAll LevelsCurrent price: ₩66,000",https://www.udemy.com/course/the-ultimate-javascript-course-build-real-world-apps2018/,JavaScript from basic to advanced level. Project - based JavaScript course. JavaScript ES6 guide. Including JSON & AJAX,4.6,16.5 total hours,All Levels
,"A Beginners Guide to Advanced JavaScript & ES6 - ES2017
Learn tough topics like: 'this', scope, 'new' , hoisting, ES6, & More! Take your JS knowledge to the next level!Rating: 4.7 out of 51532 reviews5 total hours72 lecturesIntermediateCurrent price: ₩25,000",https://www.udemy.com/course/advanced-javascript-course/,"Learn tough topics like: 'this', scope, 'new' , hoisting, ES6, & More! Take your JS knowledge to the next level!",4.7,5 total hours,Intermediate
,"Javascript For Beginners Complete Course
Learn Javascript Programming Language With Practical InteractionRating: 4.3 out of 51523 reviews2 total hours21 lecturesAll LevelsCurrent price: ₩25,000",https://www.udemy.com/course/javascript-for-beginners-complete-course/,Learn Javascript Programming Language With Practical Interaction,4.3,2 total hours,All Levels
,"Make a Responsive Portfolio Website: JavaScript and HTML
Use JavaScript and HTML to create the ultimate responsive portfolio website from scratch!Rating: 4.6 out of 51395 reviews4 total hours52 lecturesBeginnerCurrent price: ₩25,000",https://www.udemy.com/course/portfolio-website/,Use JavaScript and HTML to create the ultimate responsive portfolio website from scratch!,4.6,4 total hours,Beginner
,"JavaScript from Beginner to Expert
Become a JavaScript expert in 30 days, even if you are a JS beginner. Become a front-end developer of websites in JSRating: 4.4 out of 51379 reviews13.5 total hours101 lecturesAll LevelsCurrent price: ₩25,000",https://www.udemy.com/course/javascript-from-beginner-to-expert-bring-life-to-your-site/,"Become a JavaScript expert in 30 days, even if you are a JS beginner. Become a front-end developer of websites in JS",4.4,13.5 total hours,All Levels
,"Complete Modern JavaScript Firebase BootCamp the beginner
Master JavaScript and Firebase Firestore with Pure JavaScript！JavaScript ES6+, OOP, AJAXRating: 4.2 out of 51329 reviews6 total hours109 lecturesBeginnerCurrent price: ₩49,000",https://www.udemy.com/course/complete-modern-javascript-with-firebase-bootcamp-for-beginners/,"Master JavaScript and Firebase Firestore with Pure JavaScript！JavaScript ES6+, OOP, AJAX",4.2,6 total hours,Beginner
